Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Customer ID    Arrival Time   Service Time   Queue Loc   Teller Loc  Time Serv Beg  Time Cust Waits  Time Serv Ends Total Time     
0              0.64           5.83           -1          0           0.64           0.00             6.47           5.83           
1              9.54           13.82          -1          0           9.54           0.00             23.36          13.82          
2              11.54          2.75           -1          1           11.54          0.00             14.29          2.75           
3              15.28          1.15           -1          1           15.28          0.00             16.43          1.15           
4              19.16          1.80           -1          1           19.16          0.00             20.96          1.80           
5              23.07          2.84           -1          1           23.07          0.00             25.91          2.84           
6              26.06          9.11           -1          0           26.06          0.00             35.17          9.11           
7              26.34          2.54           -1          1           26.34          0.00             28.88          2.54           
8              26.88          11.71          -1          2           26.88          0.00             38.59          11.71          
9              27.21          9.03           -1          3           27.21          0.00             36.24          9.03           
10             27.67          2.56           0           1           28.88          1.20             31.44          3.77           
11             28.24          7.26           0           1           31.44          3.20             38.70          10.45          
12             31.81          0.84           0           0           35.17          3.35             36.01          4.19           
13             33.70          0.42           0           0           36.01          2.30             36.43          2.73           
14             35.70          0.45           0           3           36.24          0.54             36.69          0.99           
15             37.50          0.53           -1          0           37.50          0.00             38.04          0.53           
16             37.70          0.01           -1          3           37.70          0.00             37.71          0.01           
17             38.18          1.90           -1          0           38.18          0.00             40.08          1.90           
18             40.09          5.43           -1          0           40.09          0.00             45.52          5.43           
19             48.52          17.39          -1          0           48.52          0.00             65.90          17.39          
20             53.73          4.14           -1          1           53.73          0.00             57.88          4.14           
21             53.89          5.10           -1          2           53.89          0.00             58.99          5.10           
22             57.03          7.48           -1          3           57.03          0.00             64.51          7.48           
23             59.45          1.48           -1          1           59.45          0.00             60.93          1.48           
24             59.46          5.10           -1          2           59.46          0.00             64.57          5.10           
25             65.26          4.99           -1          1           65.26          0.00             70.25          4.99           
26             66.34          3.01           -1          0           66.34          0.00             69.35          3.01           
27             67.14          1.17           -1          2           67.14          0.00             68.31          1.17           
28             69.44          0.20           -1          0           69.44          0.00             69.65          0.20           
29             69.74          3.21           -1          0           69.74          0.00             72.95          3.21           
30             71.76          1.75           -1          1           71.76          0.00             73.51          1.75           
31             72.80          5.66           -1          2           72.80          0.00             78.46          5.66           
32             75.15          3.38           -1          0           75.15          0.00             78.53          3.38           
33             77.79          15.44          -1          1           77.79          0.00             93.23          15.44          
34             78.83          6.73           -1          0           78.83          0.00             85.57          6.73           
35             78.92          3.05           -1          2           78.92          0.00             81.98          3.05           
36             79.20          0.17           -1          3           79.20          0.00             79.37          0.17           
37             84.56          4.07           -1          2           84.56          0.00             88.63          4.07           
38             89.49          15.68          -1          0           89.49          0.00             105.16         15.68          
39             92.16          3.16           -1          2           92.16          0.00             95.32          3.16           
40             92.39          5.09           -1          3           92.39          0.00             97.48          5.09           
41             93.64          1.50           -1          1           93.64          0.00             95.14          1.50           
42             96.00          2.63           -1          1           96.00          0.00             98.63          2.63           
43             97.42          9.42           -1          2           97.42          0.00             106.84         9.42           
44             97.67          12.62          -1          3           97.67          0.00             110.29         12.62          
45             99.67          0.58           -1          1           99.67          0.00             100.26         0.58           
46             100.97         4.59           -1          1           100.97         0.00             105.56         4.59           
47             105.97         3.79           -1          0           105.97         0.00             109.76         3.79           
48             106.07         19.42          -1          1           106.07         0.00             125.49         19.42          
49             106.81         5.23           0           2           106.84         0.03             112.08         5.27           
50             111.81         0.05           -1          0           111.81         0.00             111.87         0.05           
51             112.01         2.94           -1          0           112.01         0.00             114.95         2.94           
52             113.67         1.45           -1          2           113.67         0.00             115.12         1.45           
53             113.70         3.85           -1          3           113.70         0.00             117.54         3.85           
54             114.48         9.66           0           0           114.95         0.47             124.62         10.13          
55             121.49         11.19          -1          2           121.49         0.00             132.68         11.19          
56             121.82         13.05          -1          3           121.82         0.00             134.87         13.05          
57             125.82         0.10           -1          0           125.82         0.00             125.91         0.10           
58             128.68         0.14           -1          0           128.68         0.00             128.82         0.14           
59             129.12         15.96          -1          0           129.12         0.00             145.09         15.96          
60             129.21         10.95          -1          1           129.21         0.00             140.16         10.95          
61             129.35         11.04          0           2           132.68         3.33             143.72         14.37          
62             129.59         14.11          0           3           134.87         5.27             148.97         19.38          
63             132.58         2.56           0           1           140.16         7.58             142.73         10.14          
64             136.91         2.12           0           1           142.73         5.81             144.85         7.94           
65             141.81         0.18           0           2           143.72         1.91             143.90         2.09           
66             142.19         0.51           0           2           143.90         1.71             144.41         2.22           
67             143.46         0.01           0           2           144.41         0.94             144.42         0.96           
68             145.61         3.40           -1          0           145.61         0.00             149.01         3.40           
69             146.33         1.17           -1          1           146.33         0.00             147.50         1.17           
70             146.71         0.15           -1          2           146.71         0.00             146.86         0.15           
71             148.41         4.15           -1          1           148.41         0.00             152.56         4.15           
72             148.51         19.99          -1          2           148.51         0.00             168.50         19.99          
73             148.75         17.90          0           3           148.97         0.22             166.87         18.12          
74             150.47         4.38           -1          0           150.47         0.00             154.85         4.38           
75             152.43         1.41           0           1           152.56         0.13             153.97         1.54           
76             153.68         0.70           0           1           153.97         0.29             154.67         0.99           
77             155.25         6.77           -1          0           155.25         0.00             162.02         6.77           
78             157.38         7.26           -1          1           157.38         0.00             164.64         7.26           
79             157.52         14.79          0           0           162.02         4.50             176.81         19.29          
80             160.26         9.61           0           1           164.64         4.38             174.25         13.99          
81             164.02         6.26           0           3           166.87         2.85             173.13         9.12           
82             166.17         0.22           0           2           168.50         2.33             168.71         2.55           
83             166.80         11.79          0           2           168.71         1.91             180.50         13.70          
84             171.73         12.40          0           3           173.13         1.41             185.54         13.81          
85             172.62         4.19           0           1           174.25         1.63             178.44         5.81           
86             175.57         13.09          0           0           176.81         1.24             189.91         14.34          
87             180.80         13.39          -1          1           180.80         0.00             194.19         13.39          
88             186.20         3.12           -1          2           186.20         0.00             189.31         3.12           
89             187.62         5.50           -1          3           187.62         0.00             193.12         5.50           
90             187.72         2.90           0           2           189.31         1.59             192.22         4.49           
